mls_id,position,club,mls2flag,hgflag,draftflag,pick,first.yr,entry.age,duration,event
kory-kindle,Defender,Colorado Rapids,0,0,1,25,2013,21,1,0
marlon-hairston,Midfielder,Colorado Rapids,0,0,1,12,2014,19,3,0
michael-holody,Defender,Colorado Rapids,0,0,1,59,2009,21,3,0
nico-colaluca,Midfielder,Colorado Rapids,0,0,1,6,2007,20,4,0
oscar-murillo,Defender,Colorado Rapids,0,0,0,-1,2010,21,1,0
ross-labauex,Midfielder,Colorado Rapids,0,0,1,23,2010,21,3,0
scott-campbell,Midfielder,Colorado Rapids,0,0,1,49,2008,21,1,0
shane-oneill,Defender,Colorado Rapids,0,0,0,-1,2012,18,2,1
steven-emory,Midfielder,Colorado Rapids,0,0,0,-1,2011,21,2,0
tony-cascio,Midfielder,Colorado Rapids,0,0,1,14,2012,21,1,1
yherland-mcdonald,Midfielder,Colorado Rapids,0,0,0,-1,2007,20,1,0
aaron-horton,Forward,Columbus Crew SC,0,1,0,-1,2011,18,3,0
aaron-schoenfeld,Forward,Columbus Crew SC,0,0,0,-1,2012,21,4,0
adam-moffat,Midfielder,Columbus Crew SC,0,0,0,-1,2007,20,4,1
alex-grendi,Midfielder,Columbus Crew SC,0,0,1,45,2009,21,1,0
aubrey-perry,Defender,Columbus Crew SC,0,0,1,26,2012,21,1,0
ben-hunter,Defender,Columbus Crew SC,0,0,1,49,2007,21,1,0
ben-sippola,Midfielder,Columbus Crew SC,0,0,0,-1,2011,21,1,0
ben-speas,Midfielder,Columbus Crew SC,0,1,0,-1,2012,21,4,0
ben-swanson,Midfielder,Columbus Crew SC,0,1,0,-1,2015,17,2,0
brad-evans,Defender,Columbus Crew SC,0,0,1,15,2007,21,2,1
cole-grossman,Midfielder,Columbus Crew SC,0,0,1,28,2011,21,4,0
cory-elenio,Midfielder,Columbus Crew SC,0,0,0,-1,2008,21,2,0
cristian-martinez,Midfielder,Columbus Crew SC,0,0,0,-1,2016,19,1,0
dilly-duka,Midfielder,Columbus Crew SC,0,0,1,8,2010,20,4,1
emmanuel-ekpo,Midfielder,Columbus Crew SC,0,0,0,-1,2008,20,2,1
ethan-finlay,Midfielder,Columbus Crew SC,0,0,1,10,2012,21,3,1
george-josten,Midfielder,Columbus Crew SC,0,0,1,20,2008,21,1,0
guilherme-so,Forward,Columbus Crew SC,0,0,0,-1,2008,21,1,0
josh-williams,Defender,Columbus Crew SC,0,0,0,-1,2010,21,3,1
kirk-urso,Midfielder,Columbus Crew SC,0,0,0,-1,2012,21,1,0
korey-veeder,Defender,Columbus Crew SC,0,0,0,-1,2011,19,2,0
matt-walker,Midfielder,Columbus Crew SC,0,1,0,-1,2014,21,1,0
robbie-rogers,Defender,Columbus Crew SC,0,0,0,-1,2007,19,2,1
romain-gall,Midfielder,Columbus Crew SC,0,0,0,-1,2014,19,2,0
ryan-finley,Forward,Columbus Crew SC,0,0,1,9,2013,21,2,0
santiago-prim,Midfielder,Columbus Crew SC,0,0,0,-1,2011,20,1,0
steven-lenhart,Forward,Columbus Crew SC,0,0,1,48,2008,21,3,1
wil-trapp,Midfielder,Columbus Crew SC,0,1,0,-1,2013,20,2,1
alam-syamsir,Midfielder,D.C. United,0,0,0,-1,2013,20,1,0
alhaji-kamara,Forward,D.C. United,0,0,0,-1,2016,21,1,0
andy-najar,Midfielder,D.C. United,0,1,0,-1,2010,16,1,1
blake-brettschneider,Forward,D.C. United,0,0,0,-1,2011,21,2,0
bryan-arguez,Midfielder,D.C. United,0,0,1,11,2007,18,6,0
chris-durkin,Midfielder,D.C. United,0,1,0,-1,2016,16,1,0
chris-pontius,Midfielder,D.C. United,0,0,1,7,2009,21,1,1
christiano-francois,Forward,D.C. United,0,0,0,-1,2014,20,1,0
collin-martin,Midfielder,D.C. United,0,1,0,-1,2013,18,4,0
conor-doyle,Forward,D.C. United,0,0,0,-1,2013,21,4,0
conor-shanosky,Midfielder,D.C. United,0,1,0,-1,2010,18,5,0
dane-murphy,Midfielder,D.C. United,0,0,0,-1,2008,21,1,0
david-habarugira,Defender,D.C. United,0,0,0,-1,2009,20,1,0
ethan-white,Defender,D.C. United,0,1,0,-1,2011,20,1,1
ibrahim-koroma,Defender,D.C. United,0,0,0,-1,2008,18,1,0
jalen-robinson,Defender,D.C. United,0,1,0,-1,2014,19,3,0
junior-carreiro,Midfielder,D.C. United,0,0,0,-1,2010,18,2,0
kasali-yinka-casal,Midfielder,D.C. United,0,0,0,-1,2007,19,1,0
kiki-willis,Midfielder,D.C. United,0,0,0,-1,2007,20,1,0
luciano-acosta,Midfielder,D.C. United,0,0,0,-1,2016,21,1,1
michael-seaton,Forward,D.C. United,0,1,0,-1,2013,16,4,0
miguel-aguilar,Midfielder,D.C. United,0,0,1,17,2015,21,2,0
nick-deleon,Defender,D.C. United,0,0,1,7,2012,21,1,1
perry-kitchen,Midfielder,D.C. United,0,0,1,3,2011,19,1,1
rafael,Forward,D.C. United,0,0,0,-1,2013,20,1,0
raphael-augusto,Midfielder,D.C. United,0,0,0,-1,2012,20,2,0
rodney-wallace,Midfielder,D.C. United,0,0,1,6,2009,20,1,1
ryan-cordeiro,Midfielder,D.C. United,0,0,1,33,2008,21,1,0
alex-zendejas,Midfielder,FC Dallas,0,0,0,-1,2015,17,2,0
andrew-daniels,Defender,FC Dallas,0,0,1,18,2007,21,2,0
andrew-wiedeman,Forward,FC Dallas,0,0,1,21,2010,20,5,0
anthony-wallace,Defender,FC Dallas,0,0,1,9,2007,18,9,0
bradlee-baladez,Forward,FC Dallas,0,1,0,-1,2013,21,1,0
brek-shea,Midfielder,FC Dallas,0,0,1,2,2008,18,3,1
bryan-leyva,Midfielder,FC Dallas,0,1,0,-1,2010,18,3,0
carlos-gruezo,Midfielder,FC Dallas,0,0,0,-1,2016,20,1,1
carlos-rodriguez,Defender,FC Dallas,0,0,0,-1,2012,21,1,0
chase-wileman,Midfielder,FC Dallas,0,0,0,-1,2007,20,2,0
colin-bonner,Forward,FC Dallas,0,0,1,45,2016,21,1,0
coy-craft,Forward,FC Dallas,0,1,0,-1,2014,16,3,0
danny-garcia,Midfielder,FC Dallas,0,1,0,-1,2014,20,2,0
edson-edward,Defender,FC Dallas,0,0,0,-1,2010,21,2,0
eric-alexander,Midfielder,FC Dallas,0,0,1,44,2010,21,4,1
eric-avila,Defender,FC Dallas,0,0,1,19,2008,20,6,1
fabian-castillo,Forward,FC Dallas,0,0,0,-1,2011,18,2,1
george-john,Defender,FC Dallas,0,0,1,14,2009,21,2,1
jackson-goncalves,Midfielder,FC Dallas,0,0,0,-1,2010,21,2,1
juan-toja,Midfielder,FC Dallas,0,0,0,-1,2007,21,1,1
kellyn-acosta,Midfielder,FC Dallas,0,1,0,-1,2013,17,3,1
kyle-davies,Defender,FC Dallas,0,0,0,-1,2009,19,3,0
london-woodberry,Defender,FC Dallas,0,1,0,-1,2013,21,4,1
matt-hedges,Defender,FC Dallas,0,0,1,11,2012,21,1,1
mauro-diaz,Midfielder,FC Dallas,0,0,0,-1,2013,21,3,1
moises-hernandez,Defender,FC Dallas,0,1,0,-1,2011,18,6,0
paxton-pomykal,Midfielder,FC Dallas,0,1,0,-1,2016,16,1,0
peri-marosevic,Forward,FC Dallas,0,0,1,5,2009,19,3,0
ricardinho,Forward,FC Dallas,0,0,0,-1,2007,18,2,0
ruben-luna,Forward,FC Dallas,0,1,0,-1,2010,18,3,0
sebastian-botero,Midfielder,FC Dallas,0,0,0,-1,2007,20,1,0
spencer-wadsworth,Midfielder,FC Dallas,0,0,1,55,2008,21,1,0
tesho-akindele,Forward,FC Dallas,0,0,1,6,2014,21,1,1
victor-ulloa,Midfielder,FC Dallas,0,1,0,-1,2011,18,4,1
walker-zimmerman,Defender,FC Dallas,0,0,1,7,2013,19,4,1
aj-cochran,Defender,Houston Dynamo,0,0,0,-1,2014,21,2,0
alex-dixon,Midfielder,Houston Dynamo,0,1,0,-1,2011,21,3,0
alexander-lopez,Midfielder,Houston Dynamo,0,0,0,-1,2013,20,3,0
bradley-bourgeois,Defender,Houston Dynamo,1,1,0,-1,2016,21,1,0
brian-ownby,Midfielder,Houston Dynamo,0,0,0,-1,2012,21,3,0
bryan-salazar,Forward,Houston Dynamo,0,1,0,-1,2013,18,2,0
christian-lucatero,Midfielder,Houston Dynamo,1,1,0,-1,2016,18,1,0
corey-ashe,Defender,Houston Dynamo,0,0,1,26,2007,20,4,1
danny-cruz,Midfielder,Houston Dynamo,0,0,1,41,2009,19,4,1
felix-garcia,Forward,Houston Dynamo,0,0,0,-1,2009,18,1,0
francisco-navas-cobo,Midfielder,Houston Dynamo,0,1,0,-1,2010,18,2,0
franco-caraccio,Forward,Houston Dynamo,0,0,0,-1,2008,21,1,0
jose-escalante,Midfielder,Houston Dynamo,1,0,0,-1,2016,20,1,0
kofi-sarkodie,Defender,Houston Dynamo,0,0,1,7,2011,19,3,1
leonel-miranda,Midfielder,Houston Dynamo,0,0,0,-1,2015,21,2,0
mauro-manotas,Forward,Houston Dynamo,0,0,0,-1,2015,19,2,0
memo-rodriguez,Midfielder,Houston Dynamo,0,1,0,-1,2015,19,1,0
taylor-hunter,Defender,Houston Dynamo,0,0,1,49,2015,21,1,0
warren-creavalle,Midfielder,Houston Dynamo,0,0,1,37,2012,21,2,1
will-bruin,Forward,Houston Dynamo,0,0,1,11,2011,21,1,1
yair-arboleda,Forward,Houston Dynamo,1,0,0,-1,2016,19,1,0
alex-cazumba,Defender,LA Galaxy,0,0,0,-1,2010,21,1,0
ariel-lassiter,Forward,LA Galaxy,1,1,0,-1,2015,20,2,0
bradford-jamieson-iv,Forward,LA Galaxy,1,1,0,-1,2014,17,3,0
dave-romney,Defender,LA Galaxy,1,0,0,-1,2015,21,2,0
ely-allen,Midfielder,LA Galaxy,0,0,1,21,2008,21,2,0
gyasi-zardes,Forward,LA Galaxy,0,1,0,-1,2013,21,1,1
israel-sesay,Forward,LA Galaxy,0,0,0,-1,2007,16,2,0
j-delagarza,Defender,LA Galaxy,0,0,0,-1,2009,21,1,1
jack-mcbean,Forward,LA Galaxy,0,1,0,-1,2011,16,6,0
jose-villarreal,Midfielder,LA Galaxy,0,1,0,-1,2012,18,5,0
julian-valentin,Defender,LA Galaxy,0,0,1,29,2008,21,2,0
juninho,Midfielder,LA Galaxy,0,0,0,-1,2010,21,1,1
michael-gavin,Defender,LA Galaxy,0,0,0,-1,2008,21,1,0
michael-stephens,Midfielder,LA Galaxy,0,0,1,16,2010,20,1,1
omar-gonzalez,Defender,LA Galaxy,0,0,1,3,2009,20,1,1
oscar-sorto,Defender,LA Galaxy,0,1,0,-1,2013,18,4,0
paolo-cardozo,Midfielder,LA Galaxy,0,0,1,16,2011,21,2,0
raul-mendiola,Midfielder,LA Galaxy,1,1,0,-1,2014,19,3,0
ryan-thomas,Defender,LA Galaxy,0,0,0,-1,2011,21,1,0
tommy-meyer,Defender,LA Galaxy,0,0,1,19,2012,21,4,0
tristan-bowen,Forward,LA Galaxy,0,1,0,-1,2009,18,6,0
andrew-wenger,Midfielder,Montreal Impact,0,0,1,1,2012,21,3,1
anthony-jackson-hamel,Forward,Montreal Impact,0,1,0,-1,2014,20,3,0
cameron-porter,Forward,Montreal Impact,1,0,1,45,2015,21,2,0
david-choiniere,Midfielder,Montreal Impact,1,1,0,-1,2016,19,1,0
dennis-iapichino,Defender,Montreal Impact,0,0,0,-1,2012,21,2,0
eric-miller,Defender,Montreal Impact,0,0,1,5,2014,21,1,1
evan-james,Midfielder,Montreal Impact,0,0,0,-1,2012,21,1,0
felipe,Midfielder,Montreal Impact,0,0,0,-1,2012,21,1,1
jeremy-gagnon-lapare,Midfielder,Montreal Impact,0,1,0,-1,2014,18,3,0
karl-ouimette,Defender,Montreal Impact,0,1,0,-1,2012,19,5,0
kyle-fisher,Defender,Montreal Impact,1,0,1,14,2016,21,1,0
louis-beland-goyette,Midfielder,Montreal Impact,0,1,0,-1,2014,18,2,0
lucas-ontivero,Midfielder,Montreal Impact,1,0,0,-1,2016,21,1,0
maxim-tissot,Defender,Montreal Impact,0,1,0,-1,2013,20,4,0
maximiliano-rodriguez,Midfielder,Montreal Impact,0,0,0,-1,2013,18,1,0
paolo-delpiccolo,Midfielder,Montreal Impact,0,0,1,27,2013,21,1,0
romario-williams,Forward,Montreal Impact,1,0,1,3,2015,20,2,0
zakaria-messoudi,Midfielder,Montreal Impact,0,1,0,-1,2013,19,2,0
abdoulie-mansally,Defender,New England Revolution,0,0,0,-1,2007,18,3,1
alec-sundly,Midfielder,New England Revolution,0,0,1,31,2014,21,1,0
amaechi-igwe,Defender,New England Revolution,0,0,1,12,2007,18,3,0
andrew-farrell,Defender,New England Revolution,0,0,1,1,2013,20,1,1
andrew-sousa,Midfielder,New England Revolution,0,0,0,-1,2011,21,1,0
argenis-fernandez,Forward,New England Revolution,0,0,0,-1,2008,20,2,0
brandon-manzonelli,Midfielder,New England Revolution,0,0,0,-1,2008,18,1,0
brandon-tyler,Midfielder,New England Revolution,0,0,0,-1,2008,19,1,0
diego-fagundez,Midfielder,New England Revolution,0,1,0,-1,2011,16,3,1
dimitry-imbongo,Forward,New England Revolution,0,0,0,-1,2012,21,3,0
gary-flood,Midfielder,New England Revolution,0,0,0,-1,2007,21,2,0
kelyn-rowe,Midfielder,New England Revolution,0,0,1,3,2012,20,1,1
kevin-alston,Defender,New England Revolution,0,0,1,10,2009,20,1,1
kyle-helton,Defender,New England Revolution,0,0,1,51,2007,20,1,0
michael-augustine,Midfielder,New England Revolution,0,0,0,-1,2011,18,1,0
ryan-kinne,Forward,New England Revolution,0,0,1,42,2011,21,1,0
ryan-solle,Midfielder,New England Revolution,0,0,1,25,2007,21,1,0
sainey-nyassi,Midfielder,New England Revolution,0,0,0,-1,2007,18,2,1
scott-caldwell,Midfielder,New England Revolution,0,1,0,-1,2013,21,1,1
stephane-assengue,Forward,New England Revolution,0,0,0,-1,2009,18,1,0
tyler-polak,Defender,New England Revolution,0,0,1,22,2012,19,2,0
tyler-rudy,Midfielder,New England Revolution,0,0,0,-1,2015,21,1,0
zachary-herivaux,Midfielder,New England Revolution,0,1,0,-1,2015,19,2,0
angelino,Defender,New York City FC,0,0,0,-1,2015,18,1,0
jack-harrison,Midfielder,New York City FC,0,0,1,1,2016,19,1,0
khiry-shelton,Forward,New York City FC,0,0,1,2,2015,21,2,0
ronald-matarrita,Defender,New York City FC,0,0,0,-1,2016,21,1,1
shannon-gomez,Defender,New York City FC,0,0,0,-1,2016,19,1,0
alex-muyl,Midfielder,New York Red Bulls,1,1,0,-1,2016,20,1,0
amando-moreno,Forward,New York Red Bulls,0,1,0,-1,2013,17,1,0
anatole-abang,Forward,New York Red Bulls,1,0,0,-1,2015,18,2,0
corey-hertzog,Forward,New York Red Bulls,0,0,1,13,2011,20,3,0
derrick-etienne-jr,Midfielder,New York Red Bulls,1,0,0,-1,2016,19,1,0
diego-jimenez,Defender,New York Red Bulls,0,0,0,-1,2008,21,1,0
francis-doe,Forward,New York Red Bulls,0,0,0,-1,2007,21,3,0
giorgi-chirgadze,Forward,New York Red Bulls,0,1,0,-1,2009,18,2,0
hugh-macdonald,Defender,New York Red Bulls,0,0,0,-1,2007,21,1,0
ian-christianson,Midfielder,New York Red Bulls,0,0,1,22,2013,21,2,0
jeremy-hall,Defender,New York Red Bulls,0,0,1,11,2009,20,1,1
john-rooney,Midfielder,New York Red Bulls,0,0,1,25,2011,20,1,0
juan-agudelo,Forward,New York Red Bulls,0,1,0,-1,2010,17,3,1
kevin-mesa,Midfielder,New York Red Bulls,0,0,0,-1,2008,20,1,0
marcos-paullo,Midfielder,New York Red Bulls,0,0,0,-1,2011,20,1,0
marius-obekop,Midfielder,New York Red Bulls,0,0,0,-1,2013,18,3,0
matt-kassel,Midfielder,New York Red Bulls,0,1,0,-1,2011,21,3,0
matt-miazga,Defender,New York Red Bulls,0,1,0,-1,2013,17,3,1
michael-palacio,Midfielder,New York Red Bulls,0,0,0,-1,2008,21,1,0
nick-zimmerman,Midfielder,New York Red Bulls,0,0,1,44,2009,21,2,0
randi-patterson,Forward,New York Red Bulls,0,0,0,-1,2007,21,1,0
sacir-hot,Defender,New York Red Bulls,0,1,0,-1,2011,19,1,0
sainey-touray,Forward,New York Red Bulls,0,0,0,-1,2008,18,1,0
sal-caccavale,Midfielder,New York Red Bulls,0,0,0,-1,2007,21,1,0
shawn-mclaws,Defender,New York Red Bulls,1,0,1,59,2015,21,1,0
tony-tchani,Midfielder,New York Red Bulls,0,0,1,2,2010,20,1,1
tyler-adams,Midfielder,New York Red Bulls,1,1,0,-1,2016,17,1,0
tyler-lassiter,Defender,New York Red Bulls,0,0,1,30,2011,21,1,0
victor-palsson,Midfielder,New York Red Bulls,0,0,0,-1,2012,20,1,0
bryan-rochez,Forward,Orlando City SC,0,0,0,-1,2015,20,2,0
carlos-rivas,Midfielder,Orlando City SC,0,0,0,-1,2015,20,2,0
conor-donovan,Defender,Orlando City SC,0,0,1,22,2015,19,2,0
cristian-higuita,Midfielder,Orlando City SC,0,0,0,-1,2015,21,1,1
cyle-larin,Forward,Orlando City SC,0,0,1,1,2015,19,1,1
devron-garcia,Defender,Orlando City SC,1,0,0,-1,2016,20,1,0
estrela,Midfielder,Orlando City SC,0,0,0,-1,2015,19,1,0
harrison-heath,Midfielder,Orlando City SC,0,1,0,-1,2015,18,2,0
rafael-ramos,Defender,Orlando City SC,0,0,0,-1,2015,20,1,1
richmond-laryea,Midfielder,Orlando City SC,1,0,0,-1,2016,21,1,0
sidney-rivera,Forward,Orlando City SC,0,0,1,63,2015,21,1,0
tommy-redding,Defender,Orlando City SC,0,1,0,-1,2015,18,2,0
tyler-turner,Defender,Orlando City SC,0,0,0,-1,2015,18,2,0
amobi-okugo,Defender,Philadelphia Union,0,0,1,6,2010,18,3,1
antoine-hoppenot,Forward,Philadelphia Union,0,0,0,-1,2012,21,4,0
auston-trusty,Defender,Philadelphia Union,1,1,0,-1,2016,17,1,0
brian-brown,Forward,Philadelphia Union,0,0,0,-1,2014,21,1,0
chandler-hoffman,Forward,Philadelphia Union,0,0,1,13,2012,21,4,0
cristhian-hernandez,Forward,Philadelphia Union,0,1,0,-1,2012,18,2,0
danny-mwanga,Forward,Philadelphia Union,0,0,1,1,2010,18,2,1
derrick-jones,Midfielder,Philadelphia Union,1,1,0,-1,2016,18,1,0
don-anding,Forward,Philadelphia Union,0,0,1,26,2013,21,1,0
eric-ayuk,Midfielder,Philadelphia Union,0,0,0,-1,2015,18,2,0
eric-bird,Midfielder,Philadelphia Union,0,0,1,41,2015,21,1,0
greg-jordan,Midfielder,Philadelphia Union,0,0,1,32,2012,21,2,0
jack-mcinerney,Forward,Philadelphia Union,0,0,1,7,2010,17,3,1
jimmy-mclaughlin,Midfielder,Philadelphia Union,0,1,0,-1,2012,18,4,0
joe-tait,Defender,Philadelphia Union,0,0,0,-1,2011,21,1,0
joshua-yaro,Defender,Philadelphia Union,1,0,0,-1,2016,21,1,0
josue-martinez,Forward,Philadelphia Union,0,0,0,-1,2012,21,2,0
krystian-witkowski,Midfielder,Philadelphia Union,0,0,0,-1,2012,21,1,0
kyle-nakazawa,Midfielder,Philadelphia Union,0,0,1,33,2010,21,3,0
leo-fernandes,Midfielder,Philadelphia Union,0,0,0,-1,2013,21,4,0
levi-houapeu,Forward,Philadelphia Union,0,0,1,41,2011,21,1,0
morgan-langley,Midfielder,Philadelphia Union,0,0,0,-1,2011,21,1,0
raymond-lee,Defender,Philadelphia Union,0,0,1,71,2015,21,1,0
richie-marquez,Defender,Philadelphia Union,0,0,1,44,2014,21,2,1
roger-torres,Midfielder,Philadelphia Union,0,0,0,-1,2010,18,4,0
ryan-richter,Defender,Philadelphia Union,0,0,0,-1,2011,21,4,0
sheanon-williams,Defender,Philadelphia Union,0,0,0,-1,2010,19,2,1
zach-pfeffer,Midfielder,Philadelphia Union,0,1,0,-1,2011,16,6,0
alvas-powell,Defender,Portland Timbers,0,0,0,-1,2013,18,3,1
andrew-jean-baptiste,Defender,Portland Timbers,0,0,1,8,2012,19,2,1
andy-thoma,Defender,Portland Timbers,1,0,1,24,2015,21,2,0
brent-richards,Forward,Portland Timbers,0,1,0,-1,2012,21,2,0
bryan-gallego,Defender,Portland Timbers,0,1,0,-1,2014,20,1,0
charles-renken,Midfielder,Portland Timbers,0,0,0,-1,2012,18,1,0
chris-taylor,Defender,Portland Timbers,0,0,1,22,2011,21,2,0
darlington-nagbe,Midfielder,Portland Timbers,0,0,1,2,2011,20,1,1
george-fochive,Midfielder,Portland Timbers,0,0,1,39,2014,21,2,0
jack-barmby,Midfielder,Portland Timbers,1,0,0,-1,2016,21,1,0
jose-adolfo-valencia,Forward,Portland Timbers,0,0,0,-1,2012,20,2,0
kalif-alhassan,Midfielder,Portland Timbers,0,0,0,-1,2011,20,1,1
mobi-fehr,Defender,Portland Timbers,0,0,0,-1,2013,18,1,0
nick-besler,Midfielder,Portland Timbers,1,0,1,5,2015,21,2,0
schillo-tshuma,Midfielder,Portland Timbers,0,0,1,17,2014,21,2,0
sebastian-rincon,Forward,Portland Timbers,0,0,0,-1,2012,18,2,0
steven-evans,Midfielder,Portland Timbers,0,1,0,-1,2013,21,2,0
alex-nimo,Midfielder,Real Salt Lake,0,0,1,17,2008,17,3,0
benji-lopez,Forward,Real Salt Lake,0,0,0,-1,2013,18,2,0
brennan-tennelle,Midfielder,Real Salt Lake,0,0,1,37,2008,21,1,0
carlos-salcedo,Defender,Real Salt Lake,0,0,0,-1,2013,19,2,0
chris-agorsor,Forward,Real Salt Lake,0,0,0,-1,2011,20,1,0
collen-warner,Midfielder,Real Salt Lake,0,0,1,15,2010,21,3,1
danilo-acosta,Defender,Real Salt Lake,1,1,0,-1,2016,18,1,0
david-viana,Midfielder,Real Salt Lake,0,0,0,-1,2012,20,2,0
devon-sandoval,Forward,Real Salt Lake,0,0,1,29,2013,21,3,1
donny-toia,Defender,Real Salt Lake,0,1,0,-1,2011,18,4,1
enzo-martinez,Midfielder,Real Salt Lake,0,0,1,17,2012,21,2,0
fabian-espindola,Forward,Real Salt Lake,0,0,0,-1,2007,21,4,1
fito-ovalle,Midfielder,Real Salt Lake,1,1,0,-1,2016,18,1,0
jordan-allen,Midfielder,Real Salt Lake,0,1,0,-1,2014,18,3,0
justen-glad,Defender,Real Salt Lake,0,1,0,-1,2014,17,3,1
kevin-reiman,Midfielder,Real Salt Lake,0,0,0,-1,2008,21,1,0
luis-gil,Midfielder,Real Salt Lake,0,0,0,-1,2010,16,3,1
nelson-gonzalez,Midfielder,Real Salt Lake,0,0,0,-1,2009,20,3,0
nico-muniz,Midfielder,Real Salt Lake,0,1,0,-1,2011,18,2,0
olmes-garcia,Forward,Real Salt Lake,0,0,0,-1,2013,20,3,1
omar-holness,Midfielder,Real Salt Lake,1,0,1,5,2016,21,1,0
